record_id,crop_id,crop_name,category,state,year,month,month_name,period,harvest_arrivals_t,market_supply_t,demand_t,supply_demand_gap_t,gap_pct,status,modal_price_inr_per_qtl,min_price_inr_per_qtl,max_price_inr_per_qtl,data_flag
42,C004,Pearl Millet/Kambu,Millet,Tamil Nadu,2019,6,Jun,2019-06,0.0,9181.3,10936.9,-1755.6,-0.16,Shortag e,2203,1824,2724,ESTIMATED_ MODEL
43,C004,Pearl Millet/Kambu,Millet,Tamil Nadu,2019,7,Jul,2019-07,0.0,9181.3,10936.9,-1755.6,-0.16,Shortag e,2228,1815,2615,ESTIMATED_ MODEL
44,C004,Pearl Millet/Kambu,Millet,Tamil Nadu,2019,8,Aug,2019-08,0.0,9181.3,10936.9,-1755.6,-0.16,Shortag e,2327,1918,2795,ESTIMATED_ MODEL
45,C004,Pearl Millet/Kambu,Millet,Tamil Nadu,2019,9,Sep,2019-09,27430.4,34783.0,10936.9,23846.2,2.18,Surplus,1692,1393,2046,ESTIMATED_ MODEL
46,C004,Pearl Millet/Kambu,Millet,Tamil Nadu,2019,10,Oct,2019-10,27082.3,34458.1,10936.9,23521.2,2.15,Surplus,1639,1415,1959,ESTIMATED_ MODEL
47,C004,Pearl Millet/Kambu,Millet,Tamil Nadu,2019,11,Nov,2019-11,0.0,9181.3,10936.9,-1755.6,-0.16,Shortag e,2267,1834,2778,ESTIMATED_ MODEL
48,C004,Pearl Millet/Kambu,Millet,Tamil Nadu,2019,12,Dec,2019-12,0.0,9181.3,10936.9,-1755.6,-0.16,Shortag e,2239,1833,2477,ESTIMATED_ MODEL
49,C005,Ragi,Millet,Tamil Nadu,2019,1,Jan,2019-01,50369.2,66443.5,22809.7,43633.8,1.91,Surplus,2718,2279,3372,ESTIMATED_ MODEL
50,C005,Ragi,Millet,Tamil Nadu,2019,2,Feb,2019-02,46457.4,62792.5,22809.7,39982.8,1.75,Surplus,2599,2168,2904,ESTIMATED_ MODEL
51,C005,Ragi,Millet,Tamil Nadu,2019,3,Mar,2019-03,49389.9,65529.5,22809.7,42719.8,1.87,Surplus,2768,2457,3152,ESTIMATED_ MODEL
52,C005,Ragi,Millet,Tamil Nadu,2019,4,Apr,2019-04,0.0,19432.3,22809.7,-3377.4,-0.15,Shortag e,3683,3247,4358,ESTIMATED_ MODEL
53,C005,Ragi,Millet,Tamil Nadu,2019,5,May,2019-05,0.0,19432.3,22809.7,-3377.4,-0.15,Shortag e,3655,3012,4072,ESTIMATED_ MODEL
54,C005,Ragi,Millet,Tamil Nadu,2019,6,Jun,2019-06,0.0,19432.3,22809.7,-3377.4,-0.15,Shortag e,3734,3323,4462,ESTIMATED_ MODEL
55,C005,Ragi,Millet,Tamil Nadu,2019,7,Jul,2019-07,0.0,19432.3,22809.7,-3377.4,-0.15,Shortag e,3614,3018,4369,ESTIMATED_ MODEL
56,C005,Ragi,Millet,Tamil Nadu,2019,8,Aug,2019-08,0.0,19432.3,22809.7,-3377.4,-0.15,Shortag e,3734,3318,4544,ESTIMATED_ MODEL
57,C005,Ragi,Millet,Tamil Nadu,2019,9,Sep,2019-09,47699.7,63952.0,22809.7,41142.3,1.8,Surplus,2707,2189,3044,ESTIMATED_ MODEL
58,C005,Ragi,Millet,Tamil Nadu,2019,10,Oct,2019-10,50177.5,66264.6,22809.7,43454.9,1.91,Surplus,2762,2377,3042,ESTIMATED_ MODEL
59,C005,Ragi,Millet,Tamil Nadu,2019,11,Nov,2019-11,0.0,19432.3,22809.7,-3377.4,-0.15,Shortag e,3563,3087,3923,ESTIMATED_ MODEL
60,C005,Ragi,Millet,Tamil Nadu,2019,12,Dec,2019-12,47391.1,63664.0,22809.7,40854.3,1.79,Surplus,2604,2226,3135,ESTIMATED_ MODEL
61,C006,Green Gram,Pulse,Tamil Nadu,2019,1,Jan,2019-01,6299.1,8615.9,6930.0,1685.9,0.24,Surplus,6526,5650,7736,ESTIMATED_ MODEL
62,C006,Green Gram,Pulse,Tamil Nadu,2019,2,Feb,2019-02,0.0,2762.9,6026.1,-3263.2,-0.54,Shortag e,7006,5863,7986,ESTIMATED_ MODEL
63,C006,Green Gram,Pulse,Tamil Nadu,2019,3,Mar,2019-03,6680.6,8970.3,6026.1,2944.2,0.49,Surplus,6042,5421,7002,ESTIMATED_ MODEL
64,C006,Green Gram,Pulse,Tamil Nadu,2019,4,Apr,2019-04,6309.3,8625.3,6026.1,2599.2,0.43,Surplus,6356,5486,7750,ESTIMATED_ MODEL
65,C006,Green Gram,Pulse,Tamil Nadu,2019,5,May,2019-05,0.0,2762.9,6026.1,-3263.2,-0.54,Shortag e,7169,6149,8416,ESTIMATED_ MODEL
66,C006,Green Gram,Pulse,Tamil Nadu,2019,6,Jun,2019-06,0.0,2762.9,6026.1,-3263.2,-0.54,Shortag e,7047,6146,8048,ESTIMATED_ MODEL
67,C006,Green Gram,Pulse,Tamil Nadu,2019,7,Jul,2019-07,0.0,2762.9,6026.1,-3263.2,-0.54,Shortag e,6979,6033,7862,ESTIMATED_ MODEL
68,C006,Green Gram,Pulse,Tamil Nadu,2019,8,Aug,2019-08,0.0,2762.9,6026.1,-3263.2,-0.54,Shortag e,7343,6575,9085,ESTIMATED_ MODEL
69,C006,Green Gram,Pulse,Tamil Nadu,2019,9,Sep,2019-09,6378.2,8689.4,6026.1,2663.3,0.44,Surplus,6138,4920,7607,ESTIMATED_ MODEL
70,C006,Green Gram,Pulse,Tamil Nadu,2019,10,Oct,2019-10,6707.4,8995.2,6026.1,2969.1,0.49,Surplus,6111,5479,7605,ESTIMATED_ MODEL
71,C006,Green Gram,Pulse,Tamil Nadu,2019,11,Nov,2019-11,0.0,2762.9,6026.1,-3263.2,-0.54,Shortag e,7308,6062,8462,ESTIMATED_ MODEL
72,C006,Green Gram,Pulse,Tamil Nadu,2019,12,Dec,2019-12,6631.7,8924.9,6026.1,2898.8,0.48,Surplus,6291,5232,7080,ESTIMATED_ MODEL
73,C007,Black Gram,Pulse,Tamil Nadu,2019,1,Jan,2019-01,22358.0,31407.1,32959.0,-1551.9,-0.05,Balance d,6341,5629,7680,ESTIMATED_ MODEL
74,C007,Black Gram,Pulse,Tamil Nadu,2019,2,Feb,2019-02,0.0,10632.8,28660.0,-18027.1,-0.63,Shortag e,6957,6055,8028,ESTIMATED_ MODEL
75,C007,Black Gram,Pulse,Tamil Nadu,2019,3,Mar,2019-03,21745.8,30838.3,28660.0,2178.3,0.08,Balance d,6140,5409,7500,ESTIMATED_ MODEL
76,C007,Black Gram,Pulse,Tamil Nadu,2019,4,Apr,2019-04,21424.6,30539.9,28660.0,1879.9,0.07,Balance d,6366,5674,7491,ESTIMATED_ MODEL
77,C007,Black Gram,Pulse,Tamil Nadu,2019,5,May,2019-05,20219.0,29419.6,28660.0,759.7,0.03,Balance d,6265,5512,7502,ESTIMATED_ MODEL
78,C007,Black Gram,Pulse,Tamil Nadu,2019,6,Jun,2019-06,0.0,10632.8,28660.0,-18027.1,-0.63,Shortag e,6959,6121,8584,ESTIMATED_ MODEL
79,C007,Black Gram,Pulse,Tamil Nadu,2019,7,Jul,2019-07,0.0,10632.8,28660.0,-18027.1,-0.63,Shortag e,6822,5714,7600,ESTIMATED_ MODEL
80,C007,Black Gram,Pulse,Tamil Nadu,2019,8,Aug,2019-08,0.0,10632.8,28660.0,-18027.1,-0.63,Shortag e,6913,5555,8087,ESTIMATED_ MODEL
81,C007,Black Gram,Pulse,Tamil Nadu,2019,9,Sep,2019-09,21539.2,30646.3,28660.0,1986.4,0.07,Balance d,6240,5171,7417,ESTIMATED_ MODEL
82,C007,Black Gram,Pulse,Tamil Nadu,2019,10,Oct,2019-10,22495.4,31534.8,28660.0,2874.8,0.1,Surplus,6018,4837,7362,ESTIMATED_ MODEL
83,C007,Black Gram,Pulse,Tamil Nadu,2019,11,Nov,2019-11,0.0,10632.8,28660.0,-18027.1,-0.63,Shortag e,6830,5551,8048,ESTIMATED_ MODEL
84,C007,Black Gram,Pulse,Tamil Nadu,2019,12,Dec,2019-12,20328.4,29521.3,28660.0,861.3,0.03,Balance d,6363,5228,7594,ESTIMATED_ MODEL
85,C008,Red Gram/Pigeon Pea,Pulse,Tamil Nadu,2019,1,Jan,2019-01,17588.4,21571.6,22925.8,-1354.2,-0.06,Balance d,6517,5850,7674,ESTIMATED_ MODEL
86,C008,Red Gram/Pigeon Pea,Pulse,Tamil Nadu,2019,2,Feb,2019-02,18658.4,22565.8,22925.8,-360.0,-0.02,Balance d,6322,5560,7211,ESTIMATED_ MODEL
87,C008,Red Gram/Pigeon Pea,Pulse,Tamil Nadu,2019,3,Mar,2019-03,18679.1,22585.0,22925.8,-340.8,-0.01,Balance d,6365,5142,7026,ESTIMATED_ MODEL
88,C008,Red Gram/Pigeon Pea,Pulse,Tamil Nadu,2019,4,Apr,2019-04,0.0,5229.0,22925.8,-17696.8,-0.77,Shortag e,7290,6441,8780,ESTIMATED_ MODEL
89,C008,Red Gram/Pigeon Pea,Pulse,Tamil Nadu,2019,5,May,2019-05,0.0,5229.0,22925.8,-17696.8,-0.77,Shortag e,7078,5785,7952,ESTIMATED_ MODEL
90,C008,Red Gram/Pigeon Pea,Pulse,Tamil Nadu,2019,6,Jun,2019-06,0.0,5229.0,22925.8,-17696.8,-0.77,Shortag e,7017,5999,8471,ESTIMATED_ MODEL
91,C008,Red Gram/Pigeon Pea,Pulse,Tamil Nadu,2019,7,Jul,2019-07,0.0,5229.0,22925.8,-17696.8,-0.77,Shortag e,7174,5940,8919,ESTIMATED_ MODEL
92,C008,Red Gram/Pigeon Pea,Pulse,Tamil Nadu,2019,8,Aug,2019-08,0.0,5229.0,22925.8,-17696.8,-0.77,Shortag e,7204,6162,8585,ESTIMATED_ MODEL
93,C008,Red Gram/Pigeon Pea,Pulse,Tamil Nadu,2019,9,Sep,2019-09,0.0,5229.0,22925.8,-17696.8,-0.77,Shortag e,7082,5841,8168,ESTIMATED_ MODEL
94,C008,Red Gram/Pigeon Pea,Pulse,Tamil Nadu,2019,10,Oct,2019-10,0.0,5229.0,22925.8,-17696.8,-0.77,Shortag e,7211,5779,8058,ESTIMATED_ MODEL
95,C008,Red Gram/Pigeon Pea,Pulse,Tamil Nadu,2019,11,Nov,2019-11,0.0,5229.0,22925.8,-17696.8,-0.77,Shortag e,6939,5579,8523,ESTIMATED_ MODEL
96,C008,Red Gram/Pigeon Pea,Pulse,Tamil Nadu,2019,12,Dec,2019-12,18895.0,22785.6,22925.8,-140.2,-0.01,Balance d,6458,5473,7199,ESTIMATED_ MODEL
97,C009,Bengal Gram/Chickpea,Pulse,Tamil Nadu,2019,1,Jan,2019-01,998.1,1136.6,1852.3,-715.8,-0.39,Shortag e,5185,4467,6198,ESTIMATED_ MODEL
98,C009,Bengal Gram/Chickpea,Pulse,Tamil Nadu,2019,2,Feb,2019-02,962.0,1103.0,1852.3,-749.3,-0.4,Shortag e,5094,4266,6082,ESTIMATED_ MODEL
99,C009,Bengal Gram/Chickpea,Pulse,Tamil Nadu,2019,3,Mar,2019-03,993.3,1132.1,1852.3,-720.2,-0.39,Shortag e,5218,4621,6255,ESTIMATED_ MODEL
100,C009,Bengal Gram/Chickpea,Pulse,Tamil Nadu,2019,4,Apr,2019-04,0.0,209.2,1852.3,-1643.1,-0.89,Shortag e,5486,4427,6563,ESTIMATED_ MODEL
101,C009,Bengal Gram/Chickpea,Pulse,Tamil Nadu,2019,5,May,2019-05,0.0,209.2,1852.3,-1643.1,-0.89,Shortag e,5445,4675,6758,ESTIMATED_ MODEL
102,C009,Bengal Gram/Chickpea,Pulse,Tamil Nadu,2019,6,Jun,2019-06,0.0,209.2,1852.3,-1643.1,-0.89,Shortag e,5608,4704,6710,ESTIMATED_ MODEL
103,C009,Bengal Gram/Chickpea,Pulse,Tamil Nadu,2019,7,Jul,2019-07,0.0,209.2,1852.3,-1643.1,-0.89,Shortag e,5573,4763,6918,ESTIMATED_ MODEL
104,C009,Bengal Gram/Chickpea,Pulse,Tamil Nadu,2019,8,Aug,2019-08,0.0,209.2,1852.3,-1643.1,-0.89,Shortag e,5552,4975,6861,ESTIMATED_ MODEL
105,C009,Bengal Gram/Chickpea,Pulse,Tamil Nadu,2019,9,Sep,2019-09,0.0,209.2,1852.3,-1643.1,-0.89,Shortag e,5495,4434,6128,ESTIMATED_ MODEL
106,C009,Bengal Gram/Chickpea,Pulse,Tamil Nadu,2019,10,Oct,2019-10,0.0,209.2,2222.8,-2013.6,-0.91,Shortag e,5457,4417,6562,ESTIMATED_ MODEL
107,C009,Bengal Gram/Chickpea,Pulse,Tamil Nadu,2019,11,Nov,2019-11,0.0,209.2,1852.3,-1643.1,-0.89,Shortag e,5459,4541,6696,ESTIMATED_ MODEL
108,C009,Bengal Gram/Chickpea,Pulse,Tamil Nadu,2019,12,Dec,2019-12,0.0,209.2,1852.3,-1643.1,-0.89,Shortag e,5444,4799,6219,ESTIMATED_ MODEL
109,C010,Groundnut,Oilseed,Tamil Nadu,2019,1,Jan,2019-01,131414.4,183285.8,65809.9,117475.9,1.79,Surplus,4226,3722,5277,ESTIMATED_ MODEL
110,C010,Groundnut,Oilseed,Tamil Nadu,2019,2,Feb,2019-02,130369.9,182311.0,65809.9,116501.1,1.77,Surplus,4114,3444,5005,ESTIMATED_ MODEL
111,C010,Groundnut,Oilseed,Tamil Nadu,2019,3,Mar,2019-03,0.0,60632.4,65809.9,-5177.5,-0.08,Balance d,5537,4945,6804,ESTIMATED_ MODEL
112,C010,Groundnut,Oilseed,Tamil Nadu,2019,4,Apr,2019-04,134198.8,185884.6,65809.9,120074.7,1.82,Surplus,4120,3605,4998,ESTIMATED_ MODEL
113,C010,Groundnut,Oilseed,Tamil Nadu,2019,5,May,2019-05,132004.9,183837.0,65809.9,118027.1,1.79,Surplus,4012,3571,4717,ESTIMATED_ MODEL
114,C010,Groundnut,Oilseed,Tamil Nadu,2019,6,Jun,2019-06,0.0,60632.4,65809.9,-5177.5,-0.08,Balance d,5698,4741,7033,ESTIMATED_ MODEL
115,C010,Groundnut,Oilseed,Tamil Nadu,2019,7,Jul,2019-07,0.0,60632.4,65809.9,-5177.5,-0.08,Balance d,5553,4448,6863,ESTIMATED_ MODEL
116,C010,Groundnut,Oilseed,Tamil Nadu,2019,8,Aug,2019-08,0.0,60632.4,65809.9,-5177.5,-0.08,Balance d,5454,4537,6777,ESTIMATED_ MODEL
117,C010,Groundnut,Oilseed,Tamil Nadu,2019,9,Sep,2019-09,0.0,60632.4,65809.9,-5177.5,-0.08,Balance d,5739,4920,6857,ESTIMATED_ MODEL
118,C010,Groundnut,Oilseed,Tamil Nadu,2019,10,Oct,2019-10,133058.9,184820.7,65809.9,119010.8,1.81,Surplus,4126,3422,4742,ESTIMATED_ MODEL
119,C010,Groundnut,Oilseed,Tamil Nadu,2019,11,Nov,2019-11,125025.4,177322.8,65809.9,111513.0,1.69,Surplus,4200,3676,5119,ESTIMATED_ MODEL
120,C010,Groundnut,Oilseed,Tamil Nadu,2019,12,Dec,2019-12,123414.1,175818.9,65809.9,110009.0,1.67,Surplus,4239,3430,4978,ESTIMATED_ MODEL
121,C011,Sesame/Gingelly,Oilseed,Tamil Nadu,2019,1,Jan,2019-01,3831.1,5345.4,3205.8,2139.6,0.67,Surplus,7323,5933,8148,ESTIMATED_ MODEL
122,C011,Sesame/Gingelly,Oilseed,Tamil Nadu,2019,2,Feb,2019-02,0.0,1769.7,2671.5,-901.8,-0.34,Shortag e,8581,6927,10497,ESTIMATED_ MODEL
123,C011,Sesame/Gingelly,Oilseed,Tamil Nadu,2019,3,Mar,2019-03,3781.7,5299.3,2671.5,2627.8,0.98,Surplus,6983,5643,7770,ESTIMATED_ MODEL
124,C011,Sesame/Gingelly,Oilseed,Tamil Nadu,2019,4,Apr,2019-04,3985.6,5489.6,2671.5,2818.2,1.05,Surplus,7033,5889,8127,ESTIMATED_ MODEL
125,C011,Sesame/Gingelly,Oilseed,Tamil Nadu,2019,5,May,2019-05,3740.3,5260.7,2671.5,2589.2,0.97,Surplus,7052,6310,8800,ESTIMATED_ MODEL
126,C011,Sesame/Gingelly,Oilseed,Tamil Nadu,2019,6,Jun,2019-06,0.0,1769.7,2671.5,-901.8,-0.34,Shortag e,8606,7209,9575,ESTIMATED_ MODEL
127,C011,Sesame/Gingelly,Oilseed,Tamil Nadu,2019,7,Jul,2019-07,0.0,1769.7,2671.5,-901.8,-0.34,Shortag e,8618,7375,10028,ESTIMATED_ MODEL
128,C011,Sesame/Gingelly,Oilseed,Tamil Nadu,2019,8,Aug,2019-08,0.0,1769.7,2671.5,-901.8,-0.34,Shortag e,8680,7041,10190,ESTIMATED_ MODEL
129,C011,Sesame/Gingelly,Oilseed,Tamil Nadu,2019,9,Sep,2019-09,3633.4,5160.9,2671.5,2489.4,0.93,Surplus,6709,5682,7437,ESTIMATED_ MODEL
130,C011,Sesame/Gingelly,Oilseed,Tamil Nadu,2019,10,Oct,2019-10,3645.3,5172.0,2671.5,2500.5,0.94,Surplus,6756,5484,8090,ESTIMATED_ MODEL
131,C011,Sesame/Gingelly,Oilseed,Tamil Nadu,2019,11,Nov,2019-11,0.0,1769.7,2671.5,-901.8,-0.34,Shortag e,8603,7384,10705,ESTIMATED_ MODEL
132,C011,Sesame/Gingelly,Oilseed,Tamil Nadu,2019,12,Dec,2019-12,3928.0,5435.8,2671.5,2764.3,1.03,Surplus,6761,5601,8318,ESTIMATED_ MODEL
133,C012,Sunflower,Oilseed,Tamil Nadu,2019,1,Jan,2019-01,2355.8,3256.2,3612.6,-356.3,-0.1,Balance d,5717,4890,7120,ESTIMATED_ MODEL
134,C012,Sunflower,Oilseed,Tamil Nadu,2019,2,Feb,2019-02,2101.1,3018.5,3612.6,-594.0,-0.16,Shortag e,5930,5117,7142,ESTIMATED_ MODEL
135,C012,Sunflower,Oilseed,Tamil Nadu,2019,3,Mar,2019-03,0.0,1057.5,3612.6,-2555.0,-0.71,Shortag e,6377,5502,7574,ESTIMATED_ MODEL
136,C012,Sunflower,Oilseed,Tamil Nadu,2019,4,Apr,2019-04,2357.5,3257.9,3612.6,-354.7,-0.1,Balance d,6004,4830,6857,ESTIMATED_ MODEL
137,C012,Sunflower,Oilseed,Tamil Nadu,2019,5,May,2019-05,2109.4,3026.3,3612.6,-586.3,-0.16,Shortag e,6076,5402,7099,ESTIMATED_ MODEL
138,C012,Sunflower,Oilseed,Tamil Nadu,2019,6,Jun,2019-06,0.0,1057.5,3612.6,-2555.0,-0.71,Shortag e,6434,5326,7259,ESTIMATED_ MODEL
139,C012,Sunflower,Oilseed,Tamil Nadu,2019,7,Jul,2019-07,0.0,1057.5,3612.6,-2555.0,-0.71,Shortag e,6380,5329,7577,ESTIMATED_ MODEL
140,C012,Sunflower,Oilseed,Tamil Nadu,2019,8,Aug,2019-08,0.0,1057.5,3612.6,-2555.0,-0.71,Shortag e,6246,5606,7795,ESTIMATED_ MODEL
141,C012,Sunflower,Oilseed,Tamil Nadu,2019,9,Sep,2019-09,2336.5,3238.2,3612.6,-374.3,-0.1,Shortag e,5938,5069,6808,ESTIMATED_ MODEL
142,C012,Sunflower,Oilseed,Tamil Nadu,2019,10,Oct,2019-10,2239.1,3147.4,3612.6,-465.2,-0.13,Shortag e,6000,5211,6746,ESTIMATED_ MODEL
143,C012,Sunflower,Oilseed,Tamil Nadu,2019,11,Nov,2019-11,0.0,1057.5,3612.6,-2555.0,-0.71,Shortag e,6535,5766,8120,ESTIMATED_ MODEL
144,C012,Sunflower,Oilseed,Tamil Nadu,2019,12,Dec,2019-12,2363.7,3263.7,3612.6,-348.9,-0.1,Balance d,5942,5118,6908,ESTIMATED_ MODEL
145,C013,Cotton,Fibre,Tamil Nadu,2019,1,Jan,2019-01,8367.1,10742.6,64871.9,-54129.3,-0.83,Shortag e,6728,5638,8380,ESTIMATED_ MODEL
